14916641;556;553;491;660;555;656
14916642;706;610;696;629;550;564
16170579;618;545;583;650;621;660
18678455;679;603;689;563;643;516
14916643;631;533;619;625;634;487
17424517;490;732;495;647;560;583
14916644;479;609;688;603;490;750
18678456;485;543;483;502;659;550
16170580;661;518;622;493;680;539
17424518;639;654;500;583;714;724
14916645;547;542;622;495;563;710
18678457;692;659;658;625;625;617
16170581;662;529;540;588;525;593
17424519;540;738;732;529;588;601
14916646;520;529;555;510;664;501
18678458;519;560;522;736;626;538
16170582;557;562;626;661;749;690
